Time,humidity (%)
2022-05-02 00:00:00,21.33
2022-05-02 01:00:00,22.05
2022-05-02 07:00:00,21.05
2022-05-02 18:00:00,23.45
2022-05-02 19:00:00,22.37
2022-05-02 20:00:00,20.4
2022-05-02 21:00:00,18.65
2022-05-02 22:00:00,18.92
2022-05-02 23:00:00,21.3
2022-05-03 00:00:00,22.43
2022-05-03 01:00:00,24.1
2022-05-03 03:00:00,25.6
2022-05-03 04:00:00,25.33
2022-05-03 08:00:00,25.26
2022-05-03 09:00:00,24.78
2022-05-03 10:00:00,26.09
2022-05-03 14:00:00,27.6
2022-05-03 18:00:00,26.24
2022-05-03 19:00:00,25.75
2022-05-03 23:00:00,24.71
2022-05-04 03:00:00,25.39
2022-05-04 04:00:00,24.85
2022-05-04 05:00:00,25.56
2022-05-04 06:00:00,26.4
2022-05-04 08:00:00,29.0
2022-05-04 09:00:00,29.91
2022-05-04 13:00:00,28.71
2022-05-04 14:00:00,29.83
2022-05-04 17:00:00,28.53
2022-05-04 18:00:00,29.57
2022-05-04 19:00:00,28.15
2022-05-04 21:00:00,27.67
2022-05-04 23:00:00,28.45
2022-05-05 02:00:00,29.54
2022-05-05 03:00:00,32.01
2022-05-05 07:00:00,29.27
2022-05-05 09:00:00,33.0
2022-05-05 10:00:00,31.15
2022-05-05 11:00:00,45.93
2022-05-05 18:00:00,43.4
2022-05-06 03:00:00,42.94
2022-05-06 04:00:00,43.06
2022-05-06 05:00:00,41.15
2022-05-06 10:00:00,39.86
2022-05-06 11:00:00,40.71
2022-05-06 12:00:00,41.41
2022-05-06 13:00:00,40.629999999999995
2022-05-06 16:00:00,42.85
2022-05-06 22:00:00,41.43
2022-05-06 23:00:00,39.81
2022-05-07 00:00:00,39.230000000000004
2022-05-07 01:00:00,37.91
2022-05-07 03:00:00,41.620000000000005
2022-05-07 04:00:00,43.0
2022-05-07 08:00:00,46.19
2022-05-07 10:00:00,46.629999999999995
2022-05-07 11:00:00,45.5
2022-05-07 12:00:00,44.86
2022-05-07 13:00:00,45.17
2022-05-07 14:00:00,43.95
2022-05-07 16:00:00,45.07
2022-05-07 18:00:00,47.08
2022-05-07 19:00:00,48.53
2022-05-07 21:00:00,46.879999999999995
2022-05-08 00:00:00,46.730000000000004
2022-05-08 01:00:00,48.34
2022-05-08 02:00:00,47.22
2022-05-08 03:00:00,46.83
2022-05-08 04:00:00,47.16
2022-05-08 05:00:00,48.3
2022-05-08 07:00:00,49.22
2022-05-08 08:00:00,50.57
2022-05-08 09:00:00,51.06
2022-05-08 12:00:00,50.18
2022-05-08 15:00:00,48.69
2022-05-08 16:00:00,49.9
2022-05-08 19:00:00,50.97
2022-05-08 20:00:00,48.68
2022-05-08 21:00:00,47.48
2022-05-08 23:00:00,46.35
2022-05-09 00:00:00,46.629999999999995
2022-05-09 01:00:00,46.11
2022-05-09 02:00:00,44.4
2022-05-09 04:00:00,46.120000000000005
2022-05-09 05:00:00,46.68
2022-05-09 07:00:00,45.71
2022-05-09 08:00:00,46.25
2022-05-09 09:00:00,46.86
2022-05-09 10:00:00,47.86
2022-05-09 12:00:00,46.15
2022-05-09 13:00:00,45.47
2022-05-09 15:00:00,46.75
2022-05-09 16:00:00,48.97
2022-05-09 17:00:00,49.09
2022-05-09 19:00:00,49.16
2022-05-09 20:00:00,48.7
2022-05-09 22:00:00,49.89
2022-05-09 23:00:00,49.68
2022-05-10 00:00:00,48.6
2022-05-10 03:00:00,49.34
2022-05-10 04:00:00,50.29
2022-05-10 07:00:00,49.86
